"t","CO2","H2","formic_acid","formaldehyde","methanol","CO","acetic_acid","H2O"
7.84768130292298e-07,4794,4786,198,8,0,0,0,8
7.85512530768049e-07,4793,4785,199,8,0,0,0,8
7.8980132223198e-07,4792,4784,200,8,0,0,0,8
7.92685669024561e-07,4791,4783,201,8,0,0,0,8
7.92949799674611e-07,4790,4782,202,8,0,0,0,8
7.9422585689113e-07,4789,4781,203,8,0,0,0,8
7.95168706184822e-07,4788,4780,204,8,0,0,0,8
7.97010701888084e-07,4787,4779,205,8,0,0,0,8
8.02816716828037e-07,4786,4778,206,8,0,0,0,8
8.03553730370907e-07,4785,4777,207,8,0,0,0,8
8.04726165668686e-07,4784,4776,208,8,0,0,0,8
8.08361220070318e-07,4783,4775,209,8,0,0,0,8
8.1516250780888e-07,4782,4774,210,8,0,0,0,8
8.28030007750267e-07,4781,4773,211,8,0,0,0,8
8.31177649284938e-07,4780,4772,212,8,0,0,0,8
8.31319343529306e-07,4779,4771,213,8,0,0,0,8
8.37576334357663e-07,4778,4770,214,8,0,0,0,8
8.38335961804441e-07,4778,4769,213,9,0,0,0,9
8.42867349972796e-07,4777,4768,214,9,0,0,0,9
8.42994291931764e-07,4776,4767,215,9,0,0,0,9
8.49974531016382e-07,4775,4766,216,9,0,0,0,9
8.50784090058192e-07,4774,4765,217,9,0,0,0,9
8.57353712324772e-07,4774,4764,216,10,0,0,0,10
8.58193612530053e-07,4773,4763,217,10,0,0,0,10
8.63177036579606e-07,4772,4762,218,10,0,0,0,10
8.66068501828643e-07,4771,4761,219,10,0,0,0,10
8.66186281826797e-07,4770,4760,220,10,0,0,0,10
8.66449524463508e-07,4770,4759,219,11,0,0,0,11
8.70086649918639e-07,4769,4758,220,11,0,0,0,11
8.83235514869263e-07,4768,4757,221,11,0,0,0,11
8.87301332789617e-07,4767,4756,222,11,0,0,0,11
8.87761496845158e-07,4766,4755,223,11,0,0,0,11
8.91370658698924e-07,4765,4754,224,11,0,0,0,11
